Domaine;Domein;Année;Code catégorie;Catégorie principale;Hoofdcategorie;Total global;Total commune;Total Région
PE délivrés;MV afgeleverd;2019;132;Frigo, HVAC, Split, chiller, air conditionné, groupe de froid, PAC;Chiller, split, HVAC, airconditioning, koelgroepen;54;18;36
PE délivrés;MV afgeleverd;2019;152;Véhicules (Stationnement);Voertuigen (parkeren);27;8;19
PE délivrés;MV afgeleverd;2019;101;Métaux (travail des);Metalen (bewerking);12;4;8
PE délivrés;MV afgeleverd;2019;22;Boues, terres excavées (traitement);Slib, uitgegraven grond (verwerking);2;0;2
PE délivrés;MV afgeleverd;2019;48;Traitement mécanique déchets non dangereux;Ongevaarlijke afvalstoffen (mechanische bewerking);0;0;0
PE délivrés;MV afgeleverd;2019;59;Feu d'artifices, airbags;Vuurwerken, airbags;0;0;0
PE délivrés;MV afgeleverd;2019;62;Pompage d’essai, puits;Pompproef, proefpomping, put;0;0;0
PE délivrés;MV afgeleverd;2018;18;Bois (travail);Hout (bewerking);9;2;7
PE délivrés;MV afgeleverd;2018;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
PE délivrés;MV afgeleverd;2018;88;Combustibles, huiles et graisses minérales;Brandstoffen, oliën en minerale vetten;0;0;0
PE délivrés;MV afgeleverd;2018;106;Déchets de cuisine et de table, huiles et graisses de friture usagées, abats, anciennes denrées alimentaires, peaux, fourrure, laine, cadavres;Keukenafval en etensresten, gebruikte frituurolie en -vetten, slachtafval, voormalige voedingsmiddelen, huiden, pelzen, wol, kadavers;0;0;0
PE délivrés;MV afgeleverd;2018;146;Tirs;Schietstanden;0;0;0
PE délivrés;MV afgeleverd;2018;149;Chaudière à vapeur industrielle;Industriële stoomketel;0;0;0
PE délivrés;MV afgeleverd;2017;135;Spectacles;Schouwspelen;33;15;18
PE délivrés;MV afgeleverd;2017;45;Déchets dangereux et non dangereux autres qu'inertes;Gevaarlijke en niet inerte afvalstoffen;19;2;17
PE délivrés;MV afgeleverd;2017;123;Produits minéraux (dépôts à ciel ouvert);Minerale producten (openluchtop-slagplaatsen);4;0;4
PE délivrés;MV afgeleverd;2017;66;Fumier;Mest;3;0;3
PE délivrés;MV afgeleverd;2017;114;Photo (développement);Foto (ontwikkeling);3;0;3
PE délivrés;MV afgeleverd;2017;62;Forage, géothermie;Boring, geothermie;0;0;0
PE délivrés;MV afgeleverd;2017;88;Liquides inflammables;Ontvlambare vloeistoffen;0;0;0
PE délivrés;MV afgeleverd;2017;126;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
PE délivrés;MV afgeleverd;2017;179;Bassins d’orage d’eaux pluviales;Stormbekkens;0;0;0
PE délivrés;MV afgeleverd;2017;214;Déchets  dangereux (dépôts);Ongevaarlijke afvalstoffen (stortplaatsen);0;0;0
PE délivrés;MV afgeleverd;2016;36;Colles (dépôts);Lijm (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2016;48;Traitement mécanique déchets non dangereux;Ongevaarlijke afvalstoffen (mechanische bewerking);0;0;0
PE délivrés;MV afgeleverd;2016;55;Electricité, moulin à vent;Windmolens, windturbine, elektriciteit;0;0;0
PE délivrés;MV afgeleverd;2016;100;Métaux;Metaal;0;0;0
PE délivrés;MV afgeleverd;2015;13;Automobiles (réparation);Auto's (herstellingen);15;9;6
PE délivrés;MV afgeleverd;2015;151;Véhicules usagés (dépôts);Tweedehandswagens (opslagplaatsen);4;1;3
PE délivrés;MV afgeleverd;2015;22;Boues (dépôts);Slib (opslag);1;0;1
PE délivrés;MV afgeleverd;2015;147;Café;Koffiebranderij;1;1;0
PE délivrés;MV afgeleverd;2015;44;Déchetteries, parc, container, centre de tri;Afvalpark, containerpark, sorteercentrum;0;0;0
PE délivrés;MV afgeleverd;2015;78;Fabrique, Savon;Zeepfabrieken;0;0;0
PE délivrés;MV afgeleverd;2015;105;Nettoyage à sec;Droogkuis;0;0;0
PE délivrés;MV afgeleverd;2015;122;Fruits, légumes, grossistes;Groenten, fruit, groothandels;0;0;0
PE délivrés;MV afgeleverd;2015;134;Produits d'origine végétale (dépôts de);Produkten van plantaardige oorsprong (opslagplaats voor);0;0;0
PE délivrés;MV afgeleverd;2015;145;Textile (traitement chimique);Textiel (chemische bewerking);0;0;0
PE délivrés;MV afgeleverd;2014;151;Véhicules usagés (dépôts);Tweedehandswagens (opslagplaatsen);7;1;6
PE délivrés;MV afgeleverd;2014;114;Photo (développement);Foto (ontwikkeling);5;0;5
PE délivrés;MV afgeleverd;2014;87;Conserveries, boites;Conserven, conservering, blik;3;2;1
PE délivrés;MV afgeleverd;2014;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;3;0;3
PE délivrés;MV afgeleverd;2014;59;Explosifs, airbags;Explosieven, airbags;1;0;1
PE délivrés;MV afgeleverd;2014;45;DEEE (dépôt);AEEA (opslag);0;0;0
PE délivrés;MV afgeleverd;2014;48;Traitement mécanique déchets non dangereux;Ongevaarlijke afvalstoffen (mechanische bewerking);0;0;0
PE délivrés;MV afgeleverd;2014;125;Médicaments, produits de beauté;Schoonheidsproducten, medicamenten, geneesmiddelen;0;0;0
PE délivrés;MV afgeleverd;2014;170;Moteurs;Motoren;0;0;0
PE délivrés;MV afgeleverd;2014;221;STEP;Waterzuivering;0;0;0
PE délivrés;MV afgeleverd;2021;150;Véhicules neufs (dépôts);Nieuwe voertuigen (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2024;62;Forage, géothermie;Boring, geothermie;6;0;6
PE délivrés;MV afgeleverd;2021;170;Moteurs;Motoren;0;0;0
PE délivrés;MV afgeleverd;2024;49;Traitement déchets non dangereux;Niet gevaarlijke afvalstoffen;2;0;2
PE délivrés;MV afgeleverd;2020;68;Garages, parkings;Garages, parkings;25;2;23
PE délivrés;MV afgeleverd;2024;154;Vernis (dépôts);Vernis (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2020;224;Garages, parkings;Garages, parkings;5;0;5
PE délivrés;MV afgeleverd;2023;40;Combustion (installations de);Verbranding (inrichtingen);32;5;27
PE délivrés;MV afgeleverd;2020;80;Huiles résiduaires (dépôts);Afvaloliën  (opslagplaatsen);1;0;1
PE délivrés;MV afgeleverd;2023;68;Garages (couverts);Garages (overdekte);16;2;14
PE délivrés;MV afgeleverd;2023;153;Ventilation;Ventilatie;8;0;8
PE délivrés;MV afgeleverd;2023;108;Archives;Archieven;4;0;4
PE délivrés;MV afgeleverd;2023;15;Béton;Beton;1;0;1
PE délivrés;MV afgeleverd;2022;153;Ventilation;Ventilatie;7;0;7
PE délivrés;MV afgeleverd;2022;79;Hôpitaux, höpital, homes, maisons de retraite;Hospitaal, hospitalen, home, rusthuis, rust- en verzorgingstehuis;2;0;2
PE délivrés;MV afgeleverd;2022;173;Produits dangereux;Gevaarlijke producten;1;0;1
PE délivrés;MV afgeleverd;2022;51;Collecte déchets, parc à conteneur;Inzameling afvalstoffen, containerpark;0;0;0
PE délivrés;MV afgeleverd;2022;93;Matières synthétiques (traitement);Kunststof (verwerking);0;0;0
PE délivrés;MV afgeleverd;2021;132;Tours de refroidissement;Koeltorens;18;0;18
PE délivrés;MV afgeleverd;2021;45;Déchets dangereux;Gevaarlijke afvalstoffen;5;0;5
PE délivrés;MV afgeleverd;2021;25;Blanchisseries, buanderies, wasserettes, linge, nettoyages, lavages, laverie;Wasserijen, wasserettes, wasgoed, wassalon, reiniging, wassen;4;2;2
PE délivrés;MV afgeleverd;2021;25;Buanderies;Wasserijen;4;0;4
PE délivrés;MV afgeleverd;2021;94;Plastic;Plastiek;4;0;4
PE délivrés;MV afgeleverd;2021;108;Archives;Archieven;4;0;4
PE délivrés;MV afgeleverd;2021;233;Véhicules (stationnement);Voertuigen (parkeren);1;0;1
PE délivrés;MV afgeleverd;2021;28;Polystyrène;Polystyreen;0;0;0
PE délivrés;MV afgeleverd;2020;132;Frigo, HVAC, Split, chiller, air conditionné, groupe de froid, PAC;Chiller, split, HVAC, airconditioning, koelgroepen;86;35;51
PE délivrés;MV afgeleverd;2020;148;Cabine haute tension, cabine électrique;Hoogspanningscabines;43;10;33
PE délivrés;MV afgeleverd;2020;104;Groupe, secours, électrogène, sprinklage;Noodgroepen, noodaggregaat, noodaggregaat, sprinkler;31;8;23
PE délivrés;MV afgeleverd;2020;44;Déchetteries, parc, container, centre de tri;Afvalpark, containerpark, sorteercentrum;4;0;4
PE délivrés;MV afgeleverd;2020;108;Archives;Archieven;3;1;2
PE délivrés;MV afgeleverd;2020;127;Produits  d'origine animale;Producten van dierlijke oorsprong;3;3;0
PE délivrés;MV afgeleverd;2020;45;Déchets dangereux liquides (dépôt);Gevaarlijke afvalstoffen (opslag);1;0;1
PE délivrés;MV afgeleverd;2017;170;Moteurs;Motoren;0;0;0
PE délivrés;MV afgeleverd;2016;132;Réfrigération (installation de);Koeling (inrichtingen);129;38;91
PE délivrés;MV afgeleverd;2016;100;Métaux (dépôts de);Metalen (opslaplaatsen voor);8;3;5
PE délivrés;MV afgeleverd;2016;56;Epuration (Stations d’);Zuivering (stations);6;1;5
PE délivrés;MV afgeleverd;2014;108;Papier (dépôts);Papier (opslagplaat-sen);12;1;11
PE délivrés;MV afgeleverd;2014;23;Boulangeries patisseries, patissier, alimentaire, pains, tartes;Bakkerijen, patisserie, voeding, taarten, brood;5;3;2
PE délivrés;MV afgeleverd;2014;16;Béton, fabrication, sol;Productie, vloer;0;0;0
PE délivrés;MV afgeleverd;2014;55;Electricité, pompes;Elektriciteit, pompen;0;0;0
PE délivrés;MV afgeleverd;2014;224;Garages, parkings;Garages, parkings;0;0;0
PE délivrés;MV afgeleverd;2024;148;Cabine haute tension, cabine électrique;Hoogspanningscabines;91;24;67
PE délivrés;MV afgeleverd;2024;62;Forage, captage, pompage, puits;Grondwaterbemaling, boringen, oppompen, put;7;0;7
PE délivrés;MV afgeleverd;2024;71;Gaz (traitement physique);Gas (fysische verwerking);7;0;7
PE délivrés;MV afgeleverd;2024;45;DEEE;AEEA;6;1;5
PE délivrés;MV afgeleverd;2024;85;Laboratoires;Laboratoria;6;0;6
PE délivrés;MV afgeleverd;2024;46;Traitement déchets dangereux;Gevaarlijke  afvalstoffen (behandeling);4;0;4
PE délivrés;MV afgeleverd;2024;88;Combustibles, huiles et graisses minérales;Brandstoffen, oliën en minerale vetten;3;0;3
PE délivrés;MV afgeleverd;2023;68;Garages, parkings;Garages, parkings;108;41;67
PE délivrés;MV afgeleverd;2023;179;Bassins d’orage d’eaux pluviales;Stormbekkens;27;5;22
PE délivrés;MV afgeleverd;2023;88;Combustibles, diesel, mazout,;Brandstoffen, mazout, diesel;19;3;16
PE délivrés;MV afgeleverd;2023;18;Menuiseries, scieries, charpenteries;Schrijnwerkerij, zagerij, timmerwerk;6;1;5
PE délivrés;MV afgeleverd;2023;138;Cabine de peinture, carosserie, pistolet HVLP, vernis;Spuitcabine, verfcabine, carrosserie, HVLP, vernis;5;0;5
PE délivrés;MV afgeleverd;2023;123;Marbre, pierre bleue;Marmer, blauwe steen;3;0;3
PE délivrés;MV afgeleverd;2023;70;Gaz;Gas;1;0;1
PE délivrés;MV afgeleverd;2023;155;Vernis, laques, peintures, colles, pigments et émaux, émaille;Vernis, lak, verf, lijmen, pigmenten en emaille;1;1;0
PE délivrés;MV afgeleverd;2022;89;Luna-parks;Lunaparken;3;1;2
PE délivrés;MV afgeleverd;2022;47;Déchets non dangereux (dépôt);Niet gevaarlijke afvalstoffen (opslagplaats);2;0;2
PE délivrés;MV afgeleverd;2022;47;Déchets inertes (dépôts);Inerte afvalstoffen (opslagplaat-sen);2;1;1
PE délivrés;MV afgeleverd;2022;112;Produits phytopharmaceutiques;Gewasbeschermingsmiddelen;1;0;1
PE délivrés;MV afgeleverd;2022;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;1;0;1
PE délivrés;MV afgeleverd;2022;91;Marbre;Marmer;0;0;0
PE délivrés;MV afgeleverd;2021;27;Amiante;Asbest;91;0;91
PE délivrés;MV afgeleverd;2021;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;37;4;33
PE délivrés;MV afgeleverd;2021;224;Garages, parkings;Garages, parkings;11;0;11
PE délivrés;MV afgeleverd;2021;106;Os, sous-produits animaux;Beenderen, dierlijke bijproducten;5;1;4
PE délivrés;MV afgeleverd;2021;132;Refroidissement (installations de);Koeling (inrichtingen);2;0;2
PE délivrés;MV afgeleverd;2021;51;Collecte déchets, parc à conteneur;Inzameling afvalstoffen, containerpark;0;0;0
PE délivrés;MV afgeleverd;2021;62;Forage, géothermie;Boring, geothermie;0;0;0
PE délivrés;MV afgeleverd;2020;18;Menuiseries, scieries, charpenteries;Schrijnwerkerij, zagerij, timmerwerk;6;2;4
PE délivrés;MV afgeleverd;2020;132;Refroidissement (installations de);Koeling (inrichtingen);4;0;4
PE délivrés;MV afgeleverd;2020;178;Économie circulaire, valorisation, réutilisation;Circulaire economie, valorisatie, hergebruik;3;0;3
PE délivrés;MV afgeleverd;2020;47;Déchets non dangereux, papier, carton, PMC, metal, verre;Niet gevaarlijke afvalstoffen, papier, karton, PMD, glas, metaal;2;0;2
PE délivrés;MV afgeleverd;2020;123;Marbre, pierre bleue;Marmer, blauwe steen;1;0;1
PE délivrés;MV afgeleverd;2020;51;Déchetteries;Stortplaatsen;0;0;0
PE délivrés;MV afgeleverd;2020;123;Produits minéraux;Minerale producten;0;0;0
PE délivrés;MV afgeleverd;2019;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;7;2;5
PE délivrés;MV afgeleverd;2019;44;Déchets (Centres de tri);Afvalstoffen (Sorteercentra);3;0;3
PE délivrés;MV afgeleverd;2019;15;Béton;Beton;2;0;2
PE délivrés;MV afgeleverd;2019;55;Electricité, moulin à vent;Windmolens, windturbine, elektriciteit;0;0;0
PE délivrés;MV afgeleverd;2019;82;Industrie graphique, sérigraphie;Grafische industrie, zeefdruk;0;0;0
PE délivrés;MV afgeleverd;2019;87;Conserveries, boites;Conserven, conservering, blik;0;0;0
PE délivrés;MV afgeleverd;2019;89;Luna-parks;Lunaparken;0;0;0
PE délivrés;MV afgeleverd;2019;170;Moteurs;Motoren;0;0;0
PE délivrés;MV afgeleverd;2018;64;Fours;Ovens;12;3;9
PE délivrés;MV afgeleverd;2018;151;Véhicules usagés (dépôts);Tweedehandswagens (opslagplaatsen);7;1;6
PE délivrés;MV afgeleverd;2018;59;Explosifs, airbags;Explosieven, airbags;4;0;4
PE délivrés;MV afgeleverd;2018;138;Surface (application);Oppervlakte (aanbrenging);4;0;4
PE délivrés;MV afgeleverd;2018;143;Textile, tissus, vêtements,;Textiel, stoffen, kleren;1;0;1
PE délivrés;MV afgeleverd;2018;27;Amiante;Asbest;0;0;0
PE délivrés;MV afgeleverd;2018;45;Déchets dangereux;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2018;74;Bouteilles, bonbonnes;Gasflessen, spuitbus;0;0;0
PE délivrés;MV afgeleverd;2018;96;Matières végétales ou animales;Plantaardige of dierlijke stoffen;0;0;0
PE délivrés;MV afgeleverd;2017;48;Déchets non dangereux (traitement mécanique);Niet gevaarlijke afvalstoffen (mechanische verwerking);14;2;12
PE délivrés;MV afgeleverd;2017;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;0;0;0
PE délivrés;MV afgeleverd;2017;38;Combustibles solides (dépôts);Vaste brandstoffen (opslagplaat-sen);0;0;0
PE délivrés;MV afgeleverd;2017;48;Traitement mécanique déchets non dangereux;Ongevaarlijke afvalstoffen (mechanische bewerking);0;0;0
PE délivrés;MV afgeleverd;2017;149;Chaudière à vapeur industrielle;Industriële stoomketel;0;0;0
PE délivrés;MV afgeleverd;2016;147;Café;Koffiebranderij;4;2;2
PE délivrés;MV afgeleverd;2016;62;Forage, puits, captage, réinjection;Grondwaterbemaling, boringen, oppompen, put;0;0;0
PE délivrés;MV afgeleverd;2016;145;Textile (traitement chimique);Textiel (chemische bewerking);0;0;0
PE délivrés;MV afgeleverd;2014;156;Verre (travail mécanique);Glas (mechanische bewerking);1;0;1
PE délivrés;MV afgeleverd;2014;78;Fabrique, Savon;Zeepfabrieken;0;0;0
PE délivrés;MV afgeleverd;2014;97;Galvanisation, zinguage, chromage, électrolyse, dégraissage, décapage;Galvanisatie, verzinken, chromeren, electrolyse, ontvetting, decaperen;0;0;0
PE délivrés;MV afgeleverd;2014;135;Musique;Muziek;0;0;0
PE délivrés;MV afgeleverd;2014;149;Chaudière à vapeur industrielle;Industriële stoomketel;0;0;0
PE délivrés;MV afgeleverd;2024;53;Dépôts général;Algemene opslagplaats;10;0;10
PE délivrés;MV afgeleverd;2024;89;Luna-parks;Lunaparken;1;1;0
PE délivrés;MV afgeleverd;2024;3;Accumulateurs électriques;Elektrische accumulatoren;6;0;6
PE délivrés;MV afgeleverd;2023;132;Tours de refroidissement;Koeltorens;17;3;14
PE délivrés;MV afgeleverd;2024;224;Garages;Garages;2;0;2
PE délivrés;MV afgeleverd;2023;88;Liquides inflammables;Ontvlambare vloeistoffen;7;1;6
PE délivrés;MV afgeleverd;2015;82;Industrie graphique, sérigraphie, photocopieuses;Grafische industrie, zeefdruk, fotokopieermachine;0;0;0
PE délivrés;MV afgeleverd;2015;121;Produits dangereux, biocides;Gevaarlijke producten, biociden;0;0;0
PE délivrés;MV afgeleverd;2014;44;Tri, préparation en vue du réemploi de déchets;Sorteren, voorbereiden met het oog op hergebruik van afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2014;45;Déchets dangereux liquides;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2014;51;Collecte déchets, parc à conteneur;Inzameling afvalstoffen, containerpark;0;0;0
PE délivrés;MV afgeleverd;2014;73;Digesteur, réacteur, fermentation;Vergister, bioreactor, fermentatie;0;0;0
PE délivrés;MV afgeleverd;2014;74;Gaz, bonbonnes;Gaz, spuitbus;0;0;0
PE délivrés;MV afgeleverd;2014;110;Peaux;Huiden;0;0;0
PE délivrés;MV afgeleverd;2014;172;Loisirs;Recreatie;0;0;0
PE délivrés;MV afgeleverd;2024;68;Garages, parkings;Garages, parkings;75;1;74
PE délivrés;MV afgeleverd;2024;132;Tours de refroidissement;Koeltorens;15;0;15
PE délivrés;MV afgeleverd;2024;64;Fours;Ovens;14;2;12
PE délivrés;MV afgeleverd;2024;152;Véhicules (Stationnement);Voertuigen (parkeren);10;0;10
PE délivrés;MV afgeleverd;2024;142;Textile, tissus, vêtements,;Textiel, stoffen, kleren;3;0;3
PE délivrés;MV afgeleverd;2024;48;Compacteur, broyeur;Pers, breker, vermaler;2;0;2
PE délivrés;MV afgeleverd;2024;41;Composter;Composteren;1;0;1
PE délivrés;MV afgeleverd;2024;91;Marbre;Marmer;1;0;1
PE délivrés;MV afgeleverd;2024;119;Produits alimentaires d'origine animale;Voedingsproduc-ten van dier-lijke oorsprong;1;0;1
PE délivrés;MV afgeleverd;2023;3;Accumulateurs électriques, UPS, serveurs, piles;Elektrische accumulatoren, UPS, servers;30;2;28
PE délivrés;MV afgeleverd;2023;72;Réservoirs;Gasreservoirs;13;2;11
PE délivrés;MV afgeleverd;2023;72;Gaz;Gas;7;0;7
PE délivrés;MV afgeleverd;2023;62;Forage, captage, pompage, puits;Grondwaterbemaling, boringen, oppompen, put;6;0;6
PE délivrés;MV afgeleverd;2023;117;Poisson, magasins, conserves;Vis, viswinkel;4;3;1
PE délivrés;MV afgeleverd;2023;108;Papier (dépôts);Papier (opslagplaat-sen);2;0;2
PE délivrés;MV afgeleverd;2023;101;Métaux (travail des);Metalen (bewerking);1;0;1
PE délivrés;MV afgeleverd;2023;225;Bouteilles, bonbonnes, réservoirs;Gassen (vaste recipiënten);1;0;1
PE délivrés;MV afgeleverd;2023;233;Véhicules (stationnement);Voertuigen (parkeren);1;0;1
PE délivrés;MV afgeleverd;2022;88;Combustibles, diesel, citerne à mazout,;Brandstoffen, mazout, stookolie, diesel;34;10;24
PE délivrés;MV afgeleverd;2022;14;Piscines, thermes, jacuzzi;Zwembaden, thermen, jacuzzi;2;2;0
PE délivrés;MV afgeleverd;2022;45;Déchets dangereux solides;Vaste gevaarlijke afvalstoffen;1;0;1
PE délivrés;MV afgeleverd;2022;108;Papier (dépôts);Papier (opslagplaat-sen);1;0;1
PE délivrés;MV afgeleverd;2022;221;STEP;Waterzuivering;0;0;0
PE délivrés;MV afgeleverd;2021;28;Chantiers;Werven;31;31;0
PE délivrés;MV afgeleverd;2020;12;Automobiles, carwash, car-wash, voitures, véhicules;Automobielen, carwash, voertuigen;4;0;4
PE délivrés;MV afgeleverd;2020;53;Dépôts général;Algemene opslagplaats;4;2;2
PE délivrés;MV afgeleverd;2020;117;Poisson, magasins, conserves;Vis, viswinkel;3;2;1
PE délivrés;MV afgeleverd;2020;47;Déchets inertes (dépôts);Inerte afvalstoffen (opslagplaat-sen);2;0;2
PE délivrés;MV afgeleverd;2020;133;Ruchers;Bijenkorven;2;1;1
PE délivrés;MV afgeleverd;2020;27;Chantier (Décontamination de l'amiante);Werven (Asbestsanering);1;0;1
PE délivrés;MV afgeleverd;2020;138;Surface (application);Oppervlakte (aanbrenging);1;0;1
PE délivrés;MV afgeleverd;2020;151;Véhicules usagés (dépôts);Tweedehandswagens (opslagplaatsen);1;0;1
PE délivrés;MV afgeleverd;2020;82;Imprimerie;Drukkerijen;0;0;0
PE délivrés;MV afgeleverd;2019;153;Ventilation;Ventilatie;48;1;47
PE délivrés;MV afgeleverd;2019;137;Sucre, chocolat, praline, bonbons;Suiker, pralines, chocolade, snoep;3;0;3
PE délivrés;MV afgeleverd;2019;80;Huiles résiduaires (dépôts);Afvaloliën  (opslagplaatsen);2;0;2
PE délivrés;MV afgeleverd;2019;127;Produits  d'origine animale;Producten van dierlijke oorsprong;2;0;2
PE délivrés;MV afgeleverd;2019;138;Cabine de peinture, carosserie, pistolet HVLP, vernis;Spuitcabine, verfcabine, carrosserie, HVLP, vernis;1;0;1
PE délivrés;MV afgeleverd;2019;62;Forage, géothermie;Boring, geothermie;0;0;0
PE délivrés;MV afgeleverd;2019;62;Forage, puits, captage, réinjection;Grondwaterbemaling, boringen, oppompen, put;0;0;0
PE délivrés;MV afgeleverd;2019;74;Bouteilles, bonbonnes;Gasflessen, spuitbus;0;0;0
PE délivrés;MV afgeleverd;2019;94;Plastic;Plastiek;0;0;0
PE délivrés;MV afgeleverd;2019;106;Os, sous-produits animaux;Beenderen, dierlijke bijproducten;0;0;0
PE délivrés;MV afgeleverd;2018;149;Vapeur (appareils à vapeur);Stoom (stoom-toestellen);10;0;10
PE délivrés;MV afgeleverd;2018;25;Buanderies;Wasserijen;7;1;6
PE délivrés;MV afgeleverd;2018;99;Dégraissage, fontaine;Ontvettingsfontein;4;1;3
PE délivrés;MV afgeleverd;2018;127;Produits  d'origine animale;Producten van dierlijke oorsprong;4;3;1
PE délivrés;MV afgeleverd;2018;129;Produits pharmaceutiques (dépôts);Farmaceutische producten (opslagplaatsen);1;0;1
PE délivrés;MV afgeleverd;2018;29;Chantiers;Werven;0;0;0
PE délivrés;MV afgeleverd;2024;106;Abats, anciennes denrées alimentaires, peaux, fourrure, laine;Slachtafval, voormalige voedingsmiddelen, huiden, pelzen, wol;6;1;5
PE délivrés;MV afgeleverd;2024;48;Déchets non dangereux (traitement mécanique);Niet gevaarlijke afvalstoffen (mechanische verwerking);3;0;3
PE délivrés;MV afgeleverd;2023;45;Déchets dangereux solides;Vaste gevaarlijke afvalstoffen;7;1;6
PE délivrés;MV afgeleverd;2023;51;Collecte déchets, parc à conteneur;Inzameling afvalstoffen, containerpark;1;0;1
PE délivrés;MV afgeleverd;2022;74;Bouteilles, bonbonnes, réservoirs;Gasflessen, spuitbus, tanks;18;0;18
PE délivrés;MV afgeleverd;2022;101;Métaux, tours;Metaaldraaibank;12;1;11
PE délivrés;MV afgeleverd;2022;45;DEEE;AEEA;10;0;10
PE délivrés;MV afgeleverd;2022;104;Moteurs;Motoren;6;0;6
PE délivrés;MV afgeleverd;2022;106;Os, sous-produits animaux;Beenderen, dierlijke bijproducten;6;2;4
PE délivrés;MV afgeleverd;2022;45;Déchets dangereux (dépôt);Gevaarlijke afvalstoffen (opslag);2;0;2
PE délivrés;MV afgeleverd;2022;22;Boues (dépôts);Slib (opslag);1;0;1
PE délivrés;MV afgeleverd;2022;46;Traitement déchets dangereux;Gevaarlijke  afvalstoffen (behandeling);1;0;1
PE délivrés;MV afgeleverd;2022;59;Explosifs, airbags;Explosieven, airbags;1;0;1
PE délivrés;MV afgeleverd;2022;78;Fabrique, Savon;Zeepfabrieken;1;0;1
PE délivrés;MV afgeleverd;2022;45;Déchets dangereux liquides;Gevaarlijke afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2022;96;Matières végétales ou animales;Plantaardige of dierlijke stoffen;0;0;0
PE délivrés;MV afgeleverd;2018;45;Liquides, huiles usagées;Vloeistoffen, afvalolie;0;0;0
PE délivrés;MV afgeleverd;2022;138;Surface (application);Oppervlakte (aanbrenging);0;0;0
PE délivrés;MV afgeleverd;2021;104;Groupe, secours, électrogène, sprinklage;Noodgroepen, noodaggregaat, noodaggregaat, sprinkler;57;7;50
PE délivrés;MV afgeleverd;2018;74;Gaz, bonbonnes;Gaz, spuitbus;0;0;0
PE délivrés;MV afgeleverd;2021;148;Transformateurs statiques;Statische transformatoren;26;1;25
PE délivrés;MV afgeleverd;2021;88;Combustibles, huiles et graisses minérales;Brandstoffen, oliën en minerale vetten;5;1;4
PE délivrés;MV afgeleverd;2021;137;Sucre, chocolat, praline, bonbons;Suiker, pralines, chocolade, snoep;1;1;0
PE délivrés;MV afgeleverd;2021;161;Véhicules hors d'usage, VHU;Afgedankte voertuigen;1;0;1
PE délivrés;MV afgeleverd;2021;82;Imprimerie;Drukkerijen;0;0;0
PE délivrés;MV afgeleverd;2020;148;Transformateurs statiques;Statische transformatoren;30;4;26
PE délivrés;MV afgeleverd;2017;150;Véhicules neufs (dépôts);Nieuwe voertuigen (opslagplaat-sen);3;1;2
PE délivrés;MV afgeleverd;2020;29;Chantiers;Werven;0;0;0
PE délivrés;MV afgeleverd;2017;129;Produits pharmaceutiques (dépôts);Farmaceutische producten (opslagplaatsen);2;1;1
PE délivrés;MV afgeleverd;2020;51;Déchets;Afvalstoffen;0;0;0
PE délivrés;MV afgeleverd;2017;16;Béton, fabrication, sol;Productie, vloer;0;0;0
PE délivrés;MV afgeleverd;2020;97;Galvanisation, zinguage, chromage, électrolyse, dégraissage, décapage;Galvanisatie, verzinken, chromeren, electrolyse, ontvetting, decaperen;0;0;0
PE délivrés;MV afgeleverd;2017;20;Bois traitement;Houtbehandeling;0;0;0
PE délivrés;MV afgeleverd;2019;47;Déchets non dangereux, papier, carton, PMC, metal, verre;Niet gevaarlijke afvalstoffen, papier, karton, PMD, glas, metaal;9;0;9
PE délivrés;MV afgeleverd;2019;100;Métaux (dépôts de);Metalen (opslaplaatsen voor);9;2;7
PE délivrés;MV afgeleverd;2019;132;Tours de refroidissement;Koeltorens;8;0;8
PE délivrés;MV afgeleverd;2019;108;Papier (dépôts);Papier (opslagplaat-sen);5;0;5
PE délivrés;MV afgeleverd;2019;142;Textile, tissus, vêtements,;Textiel, stoffen, kleren;5;0;5
PE délivrés;MV afgeleverd;2019;85;Laboratoires;Laboratoria;2;0;2
PE délivrés;MV afgeleverd;2019;56;Epuration (Stations d’);Zuivering (stations);1;0;1
PE délivrés;MV afgeleverd;2019;33;Citernes (nettoyage);Tanken (schoonmaak);0;0;0
PE délivrés;MV afgeleverd;2019;47;Déchets non dangereux (dépôt);Niet gevaarlijke afvalstoffen (opslagplaats);0;0;0
